1;Cuero Vacuno;1;Cuero de alta calidad para zapatos
2;Cuero de Piel;2;Cuero suave y flexible para accesorios
3;Cuero de Cerdo;3;Cuero resistente para calzado de trabajo
4;Marroquinería Fina;4;Marroquinería de alta calidad para bolsos y carteras
5;Cuero de Cabra;5;Cuero suave y flexible para textiles
6;Cuero de Oveja;6;Cuero resistente para calzado de invierno
7;Cuero de Búfalo;7;Cuero fuerte y resistente para calzado de trabajo
8;Marroquinería Rustica;8;Marroquinería rústica para bolsos y carteras
9;Leather Handbags and Wallets;1;Bolsos y billeteras de cuero de alta calidad
10;Leather Belts;2;Cinturones de cuero suave y flexible
11;Leather Dress Shoes and Loafers;3;Zapatos de cuero para vestir resistentes
12;Flat Leather Sandals;4;Sandalias de cuero planas y cómodas
13;Sneakers;5;Zapatillas de cuero deportivas y duraderas
14;Leather Briefcases and Laptop Bags;6;Maletines y bolsas para laptop de cuero resistente
15;Leather Tech Accessories;7;Accesorios de cuero para tecnología duraderos
16;Custom Leatherwork;8;Trabajos de cuero personalizados y únicos
17;Leather Jackets;1;Chamarras de cuero de alta calidad
18;Leather Gloves;2;Guantes de cuero suaves y flexibles
19;Leather Hats;3;Sombreros de cuero resistentes y duraderos
20;Leather Purses;4;Bolsos de cuero de alta calidad
21;Leather Keychains;5;Llaveros de cuero suaves y duraderos
22;Leather Watch Straps;6;Correas de reloj de cuero resistentes
23;Leather Travel Bags;7;Bolsas de viaje de cuero duraderas
24;Leather Dog Collars and Leashes;8;Collares y correas para perro de cuero resistentes
25;Leather Cufflinks;1;Corbatas de cuero de alta calidad
26;Leather Ties;2;Corbatas de cuero suaves y flexibles
27;Leather Bracelets;3;Pulseras de cuero resistentes y duraderas
28;Leather Eyewear Cases;4;Fundas para anteojos de cuero duraderas
29;Leather Camera Straps;5;Correas para cámara de cuero suaves y duraderas
30;Leather Passport Covers;6;Cubiertas para pasaporte de cuero resistentes
